"Largura Altura",500-600,601-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-1600,1601-1700,1701-1800
500-600,"55,88","60,18","64,48","69,85","74,15","79,52","83,82","89,19","93,49","98,86","103,16","108,53","112,83"
601-700,"60,18","65,55","70,92","76,3","80,6","87,04","91,34","96,71","102,09","107,46","112,83","118,21","123,58"
701-800,"64,48","70,92","76,3","81,67","88,12","93,49","98,86","105,31","110,68","116,06","122,5","127,88","133,25"
801-900,"69,85","76,3","81,67","88,12","94,56","101,01","106,39","112,83","119,28","124,65","131,1","137,55",144
901-1000,"74,15","80,6","88,12","94,56","101,01","107,46","113,91","120,36","126,8","134,33","140,77","147,22","153,67"
1001-1100,"79,52","87,04","93,49","101,01","107,46","114,98","121,43","128,95","135,4","142,92","149,37","156,89","164,41"
1101-1200,"83,82","91,34","98,86","106,39","113,91","121,43","128,95","136,47",144,"151,52","159,04","166,56","174,09"
1201-1300,"89,19","96,71","105,31","112,83","120,36","128,95","136,47","145,07","152,59","160,12","168,71","176,23","184,83"
1301-1400,"93,49","102,09","110,68","119,28","126,8","135,4",144,"152,59","161,19","169,79","177,31","185,91","194,5"
1401-1500,"98,86","107,46","116,06","124,65","134,33","142,92","151,52","160,12","169,79","178,38","186,98","195,58","205,25"
1501-1600,"103,16","112,83","122,5","131,1","140,77","149,37","159,04","168,71","177,31","186,98","196,65","205,25","214,92"
1601-1700,"108,53","118,21","127,88","137,55","147,22","156,89","166,56","176,23","185,91","195,58","205,25","214,92","224,59"
1701-1800,"112,83","123,58","133,25",144,"153,67","164,41","174,09","184,83","194,5","205,25","214,92","224,59","235,34"
1801-1900,"118,21","128,95","139,7","149,37","161,19","170,86","181,61","192,35","203,1","212,77","223,52","234,26",
1901-2000,"123,58","134,33","145,07","155,82","167,64","178,38","189,13","199,88","211,7","222,44","233,19",,
2001-2100,"127,88","139,7","151,52","162,26","174,09","184,83","196,65","208,47","219,22","231,04","241,79",,
2101-2200,"132,18","145,07","156,89","168,71","180,53","192,35","204,17","215,99","227,82","239,64",,,
2201-2300,"137,55","150,44","162,26","175,16","186,98","198,8","211,7","223,52","236,41",,,,
