"Largura Altura",800-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-1600,1601-1700,1701-1800,1801-1900,1901-2000,2001-2100,2101-2200,2201-2300,2301-2400,2401-2500,2501-2600,2601-2700,2701-2800,2801-2900,2901-3000
600-700,146,152,159,164,171,177,185,189,197,220,227,234,240,246,252,260,266,273,278,286,292,299
701-800,155,163,170,177,185,191,198,204,212,236,244,250,258,265,271,278,286,292,300,308,315,322
801-900,164,172,179,188,195,203,211,219,227,251,259,266,275,283,290,298,306,313,322,329,337,344
901-1000,178,187,195,203,211,220,228,236,245,270,278,286,295,302,311,321,327,337,346,354,362,371
1001-1100,187,196,205,215,224,233,241,251,260,285,294,304,311,322,331,339,348,358,366,375,384,394
1101-1200,197,208,217,226,236,246,254,265,274,301,310,321,329,339,348,358,367,377,387,397,406,415
1201-1300,208,217,227,237,249,258,269,278,289,315,326,335,347,357,366,377,387,397,408,419,428,438
1301-1400,217,228,238,250,260,271,283,292,304,332,341,353,364,374,386,397,407,419,429,439,451,462
1401-1500,227,238,250,261,273,284,295,308,317,347,358,370,381,394,404,415,427,438,449,461,472,485
1501-1600,237,249,261,274,285,298,309,322,334,363,374,387,398,411,423,435,447,459,471,484,,
1601-1700,248,259,273,284,298,310,323,335,348,377,390,403,415,428,440,453,466,478,493,,,
1701-1800,259,273,285,299,313,325,339,351,365,396,408,422,436,449,462,476,489,,,,,
1801-1900,280,294,308,322,335,350,364,378,391,411,428,447,461,475,489,,,,,,,
