"Largura Altura",800-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-1600,1601-1700,1701-1800,1801-1900,1901-2000,2001-2100,2101-2200,2201-2300,2301-2400,2401-2500,2501-2600
600-700,156,161,168,175,181,188,194,200,214,233,239,246,252,258,265,272,277,285
701-800,165,172,178,186,193,200,208,214,231,247,255,262,270,276,284,292,297,306
801-900,177,184,191,200,208,215,223,232,247,265,273,282,288,297,305,312,320,327
901-1000,189,198,207,214,223,231,239,247,264,284,293,301,309,317,325,334,342,350
1001-1100,199,208,215,224,234,243,252,261,279,298,307,315,325,334,344,351,361,370
1101-1200,209,219,228,236,246,256,265,275,294,314,324,334,342,351,361,371,381,391
1201-1300,219,230,239,250,261,271,281,292,309,330,341,350,361,371,381,392,401,411
1301-1400,230,239,250,263,272,283,294,305,324,346,356,367,378,388,399,410,421,432
1401-1500,239,251,262,274,285,297,308,320,339,361,372,384,395,408,419,431,442,454
1501-1600,249,261,273,285,297,309,321,334,355,378,389,401,412,424,436,449,461,473
1601-1700,263,275,288,301,314,326,339,351,373,397,409,421,434,447,460,473,485,498
1701-1800,273,286,299,313,326,339,352,367,388,412,424,438,451,465,478,492,505,
1801-1900,292,305,318,333,346,361,375,389,404,424,440,454,467,482,496,510,,
